,Player,Movements,Times,In-FavorTiles,Heuristic,Actions expanded
0,PC1,D3,0.8279983997344971,4,3,1742
1,PC2,C3,1.0333364009857178,3,0,1822
2,PC1,B3,1.7671539783477783,5,3,3289
3,PC2,B2,2.87615966796875,4,0,4543
4,PC1,B1,1.4841327667236328,6,3,2578
5,PC2,A1,3.085050344467163,5,0,4338
6,PC1,C4,2.4368767738342285,7,3,2755
7,PC2,C1,4.05369234085083,6,0,5797
8,PC1,F5,3.7658114433288574,8,3,5263
9,PC2,A3,3.5766971111297607,7,0,4452
10,PC1,A2,1.6104607582092285,9,3,2090
11,PC2,B4,6.528995513916016,8,0,6704
12,PC1,C2,1.9775595664978027,11,5,2531
13,PC2,F6,19.39028000831604,11,-4,20166
14,PC1,E6,5.856618881225586,9,-1,6278
15,PC2,D1,19.450506687164307,12,-4,24875
16,PC1,D2,12.096065998077393,11,1,14938
17,PC2,E1,29.572837591171265,12,-2,41162
18,PC1,E2,13.11777138710022,12,1,18744
19,PC2,F3,26.31621527671814,13,-2,35157
20,PC1,F1,39.907737731933594,13,1,54489
21,PC2,G1,31.80407214164734,14,-2,40862
22,PC1,G2,27.918283939361572,14,1,36653
23,PC2,G4,34.19202637672424,16,-4,42241
24,PC1,H3,42.650482177734375,14,-1,54199
25,PC2,H5,42.3388147354126,17,-4,51516
26,PC1,F2,26.280078649520874,15,-1,32489
27,PC2,E3,40.667208671569824,21,-10,49671
28,PC1,G7,17.5818772315979,13,-7,22810
29,PC2,H8,27.929903268814087,24,-14,32058
30,PC1,F7,13.274681091308594,12,-11,16154
31,PC2,B5,31.102951765060425,25,-14,35555
32,PC1,H7,11.295689344406128,13,-11,13675
33,PC2,H6,26.416935205459595,26,-14,28569
34,PC1,A4,7.050509214401245,18,-3,8678
35,PC2,A5,23.659722328186035,26,-12,25848
36,PC1,G3,10.184285879135132,19,-3,12905
37,PC2,G6,21.756319999694824,27,-12,24842
38,PC1,F4,4.944375038146973,18,-7,5915
39,PC2,C5,12.77625036239624,31,-18,15738
40,PC1,C6,8.47083044052124,15,-15,9559
41,PC2,H4,13.389979839324951,32,-18,15473
42,PC1,G5,5.25747275352478,18,-11,4283
43,PC2,H2,4.435317516326904,34,-20,5117
44,PC1,H1,1.5129246711730957,16,-17,1637
45,PC2,C7,4.519281387329102,35,-20,5727
46,PC1,B6,1.7089250087738037,18,-15,1919
47,PC2,B7,8.505985498428345,39,-26,10261
48,PC1,A8,0.5429913997650146,16,-21,437
49,PC2,D7,3.3153631687164307,42,-30,3501
50,PC1,D6,0.7354538440704346,14,-27,562
51,PC2,G8,3.0167880058288574,48,-40,2777
52,PC1,D8,1.2810020446777344,10,-37,1045
53,PC2,E7,0.7579948902130127,51,-44,594
54,PC1,F8,0.21531891822814941,12,-35,140
55,PC2,E8,0.10399937629699707,50,-40,68
56,PC1,B8,0.040996551513671875,14,-33,27
57,PC2,C8,0.0149993896484375,50,-38,5
58,PC1,A6,0.003992795944213867,15,-33,1
59,PC2,A7,0.003002166748046875,52,-40,0
60,PC1,ND,0.0009145736694335938,12,-40,0
