,Player,Movements,Times
0,PC2,C4,0.3150978088378906
1,PC1,E3,0.35908985137939453
2,PC2,F2,0.757080078125
3,PC1,B4,1.1900923252105713
4,PC2,E6,1.4929149150848389
5,PC1,G1,1.1319854259490967
6,PC2,A4,0.9750876426696777
7,PC1,E7,0.45908141136169434
8,PC2,F3,1.7182002067565918
9,PC1,B3,2.6089961528778076
10,PC2,E8,6.0973992347717285
11,PC1,F4,2.9574203491210938
12,PC2,A2,3.539808511734009
13,PC1,C6,1.4204685688018799
14,PC2,G3,2.6225390434265137
15,PC1,H3,6.920450210571289
16,PC2,H2,3.4364607334136963
17,PC1,H1,7.356357097625732
18,PC2,E1,3.7110490798950195
19,PC1,F1,3.838191270828247
20,PC2,E2,2.7376391887664795
21,PC1,D1,4.861696004867554
22,PC2,B7,1.4941041469573975
23,PC1,A8,1.6165263652801514
24,PC2,C5,0.6393656730651855
25,PC1,C3,2.888655185699463
26,PC2,B2,4.949026346206665
27,PC1,A3,5.713523626327515
28,PC2,G2,6.0261149406433105
29,PC1,G4,12.294755935668945
30,PC2,B5,5.452165365219116
31,PC1,A1,10.79968523979187
32,PC2,C2,4.69107460975647
33,PC1,D3,6.333398103713989
34,PC2,D7,3.1237833499908447
35,PC1,A5,3.6656668186187744
36,PC2,B1,1.2871332168579102
37,PC1,C1,3.9410014152526855
38,PC2,D2,0.8874127864837646
39,PC1,A6,2.9795045852661133
40,PC2,B6,0.9070010185241699
41,PC1,D6,3.3890905380249023
42,PC2,B8,1.7170851230621338
43,PC1,A7,3.3994407653808594
44,PC2,F5,1.067239761352539
45,PC1,C8,2.0731306076049805
46,PC2,F7,0.4120650291442871
47,PC1,F6,0.6507158279418945
48,PC2,C7,0.7962357997894287
49,PC1,D8,0.6230001449584961
50,PC2,F8,0.4920032024383545
51,PC1,G8,0.3130028247833252
52,PC2,G7,0.4041576385498047
53,PC1,H8,0.5273675918579102
54,PC2,H7,0.1659998893737793
55,PC1,G6,0.056073665618896484
56,PC2,H6,0.022077083587646484
57,PC1,G5,0.011998653411865234
58,PC2,H5,0.002998828887939453
59,PC1,H4,0.0019991397857666016
