,Player,Movements,Times
0,PC1,C4,0.3224952220916748
1,PC2,E3,0.40207624435424805
2,PC1,F2,0.8041245937347412
3,PC2,B4,1.117887020111084
4,PC1,E6,1.4478847980499268
5,PC2,G1,1.0718255043029785
6,PC1,A4,0.9620485305786133
7,PC2,E7,0.41526222229003906
8,PC1,F3,1.6560463905334473
9,PC2,B3,2.531280755996704
10,PC1,E8,5.470242500305176
11,PC2,F4,2.8870491981506348
12,PC1,A2,4.120892763137817
13,PC2,C6,1.5511219501495361
14,PC1,G3,2.7602946758270264
15,PC2,H3,7.4218292236328125
16,PC1,H2,3.4722564220428467
17,PC2,H1,7.4911792278289795
18,PC1,E1,4.022975444793701
19,PC2,F1,4.755995512008667
20,PC1,E2,2.56754207611084
21,PC2,D1,5.129737138748169
22,PC1,B7,1.6186065673828125
23,PC2,A8,1.7996408939361572
24,PC1,C5,0.6682727336883545
25,PC2,C3,3.0554003715515137
26,PC1,B2,4.749459266662598
27,PC2,A3,5.040911912918091
28,PC1,G2,5.4745683670043945
29,PC2,G4,12.66703724861145
30,PC1,B5,5.456484794616699
31,PC2,A1,11.197930574417114
32,PC1,C2,5.2432639598846436
33,PC2,D3,6.914913177490234
34,PC1,D7,3.33168888092041
35,PC2,A5,3.702545642852783
36,PC1,B1,1.3200247287750244
37,PC2,C1,4.230995416641235
38,PC1,D2,0.91135573387146
39,PC2,A6,3.1543593406677246
40,PC1,B6,0.9239702224731445
41,PC2,D6,3.915557384490967
42,PC1,B8,1.9744665622711182
43,PC2,A7,4.5005202293396
44,PC1,F5,1.1759958267211914
45,PC2,C8,2.487220048904419
46,PC1,F7,0.5849978923797607
47,PC2,F6,0.7737441062927246
48,PC1,C7,0.9509990215301514
49,PC2,D8,0.7463064193725586
50,PC1,F8,0.5110433101654053
51,PC2,G8,0.3101806640625
52,PC1,G7,0.4279179573059082
53,PC2,H8,0.5080807209014893
54,PC1,H7,0.18507671356201172
55,PC2,G6,0.057030439376831055
56,PC1,H6,0.023995399475097656
57,PC2,G5,0.00801849365234375
58,PC1,H5,0.002998828887939453
59,PC2,H4,0.0020012855529785156
