,Player,Movements,Times
0,PC,C4,-0.36721110343933105
1,P1,C3,-14.479748487472534
2,PC,E6,-0.6320009231567383
3,P1,F6,-63.14339828491211
4,PC,G6,-1.4705572128295898
5,P1,G7,-17.23689603805542
6,PC,C2,-3.18074369430542
7,P1,A2,-5.263772487640381
8,PC,H8,-1.3520925045013428
